Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      42 |         166 |       00:00:53 |      100.00% |       82.35% |       0.0095 |       0.3410 |          0.0100 |
|      42 |         167 |       00:00:54 |      100.00% |       82.35% |       0.0259 |       0.4094 |          0.0100 |
|      42 |         168 |       00:00:54 |      100.00% |       76.47% |       0.0156 |       0.5180 |          0.0100 |
|      43 |         169 |       00:00:54 |      100.00% |       82.35% |       0.0036 |       0.5789 |          0.0100 |
|      43 |         170 |       00:00:54 |       96.88% |       82.35% |       0.0375 |       0.6193 |          0.0100 |
|      43 |         171 |       00:00:55 |      100.00% |       82.35% |       0.0209 |       0.6141 |          0.0100 |
|      43 |         172 |       00:00:55 |      100.00% |       82.35% |       0.0251 |       0.5317 |          0.0100 |
|      44 |         173 |       00:00:55 |      100.00% |       82.35% |       0.0044 |       0.4195 |          0.0100 |
|      44 |         174 |       00:00:56 |       96.88% |       88.24% |       0.0329 |       0.1854 |          0.0100 |
|      44 |         175 |       00:00:56 |      100.00% |       94.12% |       0.0123 |       0.1071 |          0.0100 |
|      44 |         176 |       00:00:56 |      100.00% |       94.12% |       0.0156 |       0.0907 |          0.0100 |
|      45 |         177 |       00:00:57 |       96.88% |       88.24% |       0.2094 |       0.1977 |          0.0100 |
|      45 |         178 |       00:00:57 |      100.00% |       82.35% |       0.0245 |       0.2985 |          0.0100 |
|      45 |         179 |       00:00:57 |      100.00% |       82.35% |       0.0131 |       0.3681 |          0.0100 |
|      45 |         180 |       00:00:57 |      100.00% |       82.35% |       0.0264 |       0.4085 |          0.0100 |
|      46 |         181 |       00:00:58 |      100.00% |       82.35% |       0.0054 |       0.4411 |          0.0100 |
|      46 |         182 |       00:00:58 |       93.75% |       88.24% |       0.1256 |       0.3168 |          0.0100 |
|      46 |         183 |       00:00:58 |      100.00% |       88.24% |       0.0119 |       0.2513 |          0.0100 |
|      46 |         184 |       00:00:59 |      100.00% |       88.24% |       0.0140 |       0.2247 |          0.0100 |
|      47 |         185 |       00:00:59 |      100.00% |       88.24% |       0.0070 |       0.2337 |          0.0100 |
|      47 |         186 |       00:00:59 |       96.88% |       94.12% |       0.1875 |       0.2383 |          0.0100 |
|      47 |         187 |       00:01:00 |      100.00% |       94.12% |       0.0104 |       0.2441 |          0.0100 |
|      47 |         188 |       00:01:00 |      100.00% |       94.12% |       0.0143 |       0.2537 |          0.0100 |
|      48 |         189 |       00:01:00 |      100.00% |       94.12% |       0.0074 |       0.2912 |          0.0100 |
|      48 |         190 |       00:01:00 |      100.00% |       88.24% |       0.0446 |       0.3108 |          0.0100 |
|      48 |         191 |       00:01:01 |      100.00% |       88.24% |       0.0094 |       0.3358 |          0.0100 |
|      48 |         192 |       00:01:01 |      100.00% |       88.24% |       0.0125 |       0.3704 |          0.0100 |
|      49 |         193 |       00:01:01 |      100.00% |       88.24% |       0.0040 |       0.4057 |          0.0100 |
|      49 |         194 |       00:01:02 |      100.00% |       88.24% |       0.0149 |       0.4355 |          0.0100 |
|      49 |         195 |       00:01:02 |      100.00% |       88.24% |       0.0172 |       0.4369 |          0.0100 |
|      49 |         196 |       00:01:02 |      100.00% |       76.47% |       0.0092 |       0.4677 |          0.0100 |
|      50 |         197 |       00:01:03 |      100.00% |       76.47% |       0.0040 |       0.5453 |          0.0100 |
|      50 |         198 |       00:01:03 |      100.00% |       82.35% |       0.0114 |       0.5947 |          0.0100 |
|      50 |         199 |       00:01:03 |      100.00% |       82.35% |       0.0101 |       0.6314 |          0.0100 |
|      50 |         200 |       00:01:03 |      100.00% |       82.35% |       0.0077 |       0.6142 |          0.0100 |
|======================================================================================================================|

trainacc =

   97.7941


valacc =

   82.3529


testacc =

   58.8235

>> layers

layers = 

  5x1 Layer array with layers:

     1   ''   Sequence Input          Sequence input with 13 dimensions
     2   ''   LSTM                    LSTM with 18 hidden units
     3   ''   Fully Connected         2 fully connected layer
     4   ''   Softmax                 softmax
     5   ''   Classification Output   crossentropyex
>> options

options = 

  TrainingOptionsADAM with properties:

           GradientDecayFactor: 0.9000
    SquaredGradientDecayFactor: 0.9990
                       Epsilon: 1.0000e-08
              InitialLearnRate: 0.0100
             LearnRateSchedule: 'none'
           LearnRateDropFactor: 0.1000
           LearnRateDropPeriod: 10
              L2Regularization: 1.0000e-04
       GradientThresholdMethod: 'l2norm'
             GradientThreshold: 1
                     MaxEpochs: 50
                 MiniBatchSize: 32
                       Verbose: 1
